Image Name,Category,No.1 Style,No.2 Style,No.3 Style,No.4 Style,Style 1 Keywords,Style 2 Keywords,Style 3 Keywords,Style 4 Keywords,Neuron No.1 Style,Neuron No.2 Style,Neuron No.3 Style,Neuron No.4 Style,Neuron Style 1 Keywords,Neuron Style 2 Keywords,Neuron Style 3 Keywords,Neuron Style 4 Keywords,Origin Neuron Focus,Origin Neuron Cognitive Demand,Origin Neuron Engagement,Origin Neuron Memory,Style 1 Neuron Focus,Style 1 Neuron Cognitive Demand,Style 1 Neuron Engagement,Style 1 Neuron Memory,Style 2 Neuron Focus,Style 2 Neuron Cognitive Demand,Style 2 Neuron Engagement,Style 2 Neuron Memory,Style 3 Neuron Focus,Style 3 Neuron Cognitive Demand,Style 3 Neuron Engagement,Style 3 Neuron Memory,Style 4 Neuron Focus,Style 4 Neuron Cognitive Demand,Style 4 Neuron Engagement,Style 4 Neuron Memory,Style 1 Heatmap %,Style 1 Red Dot %,Style 1 Yellow Dot %,Style 1 Green Dot %,Style 2 Heatmap %,Style 2 Red Dot %,Style 2 Yellow Dot %,Style 2 Green Dot %,Style 3 Heatmap %,Style 3 Red Dot %,Style 3 Yellow Dot %,Style 3 Green Dot %,Style 4 Heatmap %,Style 4 Red Dot %,Style 4 Yellow Dot %,Style 4 Green Dot %,Original Heatmap %,Original Red Dot %,Original Yellow Dot %,Original Green Dot %
Image 1: Art Store,Retail,2,1,3,4,"Vivid contrast,Clear reflections,Hard-to-read sign","Attractive flowers,Bold sign,Excellent contrast","Bright colors,Eccentric look,Illegible sign","Dark colors,Unnatural flowers,Unwelcoming appearance",1,2,3,4,"Store Sign, Door, Equal Focus","Store Sign, Door, Sign Dominant","Store Sign, Door, Door Dominant","Door, Windows, Single Focus",71,50,60,34,77,47,67,54,87,44,79,50,80,39,58,30,80,43,72,27,36.666,4.438,3.422,18.09,20.541,1.672,2.222,11.415,33.082,6.639,3.558,12.929,23.558,2.53,1.625,11.241,40.592,6.008,6.284,17.318
Image 2: Cosmetics Retail Store,Retail,4,2,3,1,"Unnatural reflections,Cartoonish look,High contrast","Natural color scheme,Unclear person,Inaccurate reflections","Dull appearance,Poor contrast,Indistinct reflections","Natural color scheme,Human-like figure,Strong contrast",3,1,4,2,"Store Sign, Left Sign, Bottom Windows","Central Window, Store Sign, Minimal Else","Store Sign, Door, Artwork","Door, Store Sign, Left Window",67,59,80,36,52,34,70,22,77,38,62,25,48,35,77,20,62,36,51,25,39.061,3.998,4.176,20.088,33.121,2.629,2.003,12.944,36.55,3.802,4.607,15.36,36.496,2.443,2.708,19.245,49.981,5.498,5.327,24.055
Image 3: Clothing Retail Store,Retail,1,3,2,4,"Bright green sign,Window reflections,Color scheme","Darker tones,Unnatural contrast,Green and brown","Purple sign,Sharper details,Brighter appearance","Dark and gloomy,Blurred reflections,Unsettling colors",1,4,3,2,"Store Sign, Bottom Left, Bottom Right","Bottom Window, Store Sign, Less Sign Focus","Store Sign, Bottom Window, Balanced Focus","Store Sign, Bottom Window, Minimal Else",57,46,61,57,52,50,51,53,68,40,68,51,63,41,60,48,59,41,62,40,45.224,7.794,5.943,24.587,34.325,4.66,2.583,22.388,35.26,5.711,1.971,18.449,36.341,3.51,4.66,22,31.237,1.217,1.491,17.282
Image 4: Flower and Art Shop,Retail,1,2,3,4,"Enhanced Door Image, Readable Sign, Visible Person","Soft Tones, Unnecessary Contrast, Relaxed Feel","Cartoonish Sketch, Aqua Sign, Unrealistic Style","Dull Scheme, Dark Frame, Hard to See Interior",3,4,2,1,"Store Sign, Subregions, Windows","Store Sign, Subregions, Less Windows","Store Sign, Central Window, Balanced Focus","Left Store Sign, Bottom Window, Balanced Focus",55,40,69,29,56,49,63,30,57,43,69,35,50,40,57,38,51,46,59,22,37.428,1.974,2.603,16.348,35.545,3.384,2.408,11.582,36.514,4.965,4.316,16.527,44.983,5.207,4.956,23.512,38.698,2.759,2.399,17.914
Image 5: Dry Cleaner Store,Retail,4,2,1,3,"Natural Contrast, Readable Phrases, Clear Reflection","Classical Contrast, Unreadable Phrases, Striking Look","Low Contrast, Unclear Circles, Illegible Text","Unfitting Colors, Sketchy Style, Inappropriate Artwork",2,4,1,3,"Right Window, Minimal Else, Bottom Focus","Left Window, Central Pillar, Store Sign","Left Window, Store Sign, Moderate Focus","Right Door, Central Window, Left Window",77,52,54,38,87,59,69,39,60,69,66,37,83,59,53,35,88,60,59,45,28.146,1.009,1.723,12.809,44.11,3.819,3.227,24.85,27.943,5.394,4.493,12.501,29.886,3.144,3.606,14.262,37.426,3.704,3.577,22.919
Image 6: Convenience Store,Retail,1,4,3,2,"Blue-Black Contrast, Natural Feel, Dreamlike Style","Too Much Black, Unreadable Sign, Unnatural Style","Unfitting Colors, Cartoonish Sign, Bright Look","Transparent Windows, Clear Reflections, Striking Colors",4,3,2,1,"Store Sign, Minimal Else, Central Focus","Store Sign, Minimal Else, Single Focus","Store Sign, Below Sign, Balanced Focus","Store Sign, Below Sign, Balanced Focus",78,54,87,50,88,44,56,43,86,51,65,48,76,44,53,45,73,52,60,41,19.077,2.003,1.211,8.844,19.038,1.327,1.672,13.856,21.213,2.539,1.318,8.229,31.938,2.543,2.565,18.82,35.96,4.852,3.984,12.209
Image 7: Retail Store Selling Fireplaces,Retail,4,2,1,3,"Hard to Read Sign, Unfitting Entrance, Exposed Sky","Readable Phrases, Unique Colors, Good Contrast","Shadowed Image, Unnatural Colors, Bright Mix","Grand Appearance, Bold Sign, Dark Scheme",4,3,1,2,"Left Store Sign, Central Door, Windows","Central Door, Store Sign, Windows","Store Sign, Central Door, Bottom Window","Left Sign, Right Sign, Central Door",55,37,87,23,67,34,75,27,80,32,76,27,63,33,80,33,57,52,71,35,32.992,5.586,4.417,16.927,23.853,2.061,3.861,16.299,32.037,4.104,3.476,16.81,38.922,5.271,4.165,22.211,34.304,3.807,2.835,19.32
Image 8: Japanese Grocery Store,Retail,1,4,2,3,"Modern Feel, Well-Defined Carts, Simple Scheme","Dark Coloration, Unreadable Sign, Uneven Lighting","Over-Bright Colors, Unnatural Highlights, Inappropriate Scheme","Relaxed Tone, Unfitting Font, Low Contrast",4,1,3,2,"Left Store Sign, Right Store Sign, Central Door","Door, Left Sign, Windows","Right Store Sign, Left Store Sign, Central Door","Left Sign, Right Sign, Multiple Focus",63,45,58,29,52,44,73,30,71,46,64,20,64,37,69,20,44,45,75,14,42.156,3.509,3.95,22.116,32.839,3.262,2.214,20.573,35.568,3.888,2.53,17.841,48.007,5.639,3.328,13.029,43.785,3.703,4.183,20.506
Image 9: Furniture Retail Store,Retail,2,4,1,3,"Low Contrast, Unreadable Sign, Eccentric Look","Clear Contrast, Natural Lighting, Readable Text","Colorful, Rainbow Scheme, Cartoonish Style","Strong Contrast, Natural Roof, Legible Text",2,4,1,3,"Store Sign, Lower Banner, Balanced Focus","Left Store Sign, Right Store Sign, Lower Banner","Store Sign, Lower Banner, Minimal Else","Right Store Sign, Lower Banner, Minimal Else",89,39,94,50,84,48,80,48,82,40,72,45,84,37,78,45,84,38,77,49,19.768,1.453,2.062,10.122,19.177,3.172,2.136,7.962,20.304,1.765,2.594,7.586,17.434,1.19,0.932,4.921,27.061,1.469,5.124,11.638
Image 10: Florist Store,Retail,2,1,3,4,"Sharp Reflections, Unreadable Text, Strong Color Scheme","Accurate Reflections, Unique Texture, Bold Contrast","Animated Feel, Hazy Backdrop, Rainbow Colors","Dark Mood, Low Brightness, Unappealing Style",1,2,4,3,"Left Store Sign, Right Store Sign, Bottom Windows","Left Store Sign, Right Store Sign, Bottom Windows","Store Sign, Artwork, Minimal Else","Central Window Left, Central Window Right, Store Sign",48,35,56,61,60,37,82,28,55,44,78,47,82,41,92,57,68,42,90,31,39.116,3.224,5.726,24.617,41.772,7.273,3.556,13.829,27.145,3.683,2.262,13.555,42.303,3.68,3.827,25.369,35.26,2.66,1.671,17.586
